,BERT,BERT (Norm.),Feed Forward Embeddings,Feed Forward Embeddings (Norm.),Feed Forward Token Counts,Feed Forward Token Counts (Norm.),Linear Regression Embeddings,Linear Regression Embeddings (Norm.),Linear Regression Token Counts,Linear Regression Token Counts (Norm.),SemScale (ONLY Norm.),Wordfish (ONLY Norm.),Wordscores,Wordscores (Norm.)
MSE (Std) NELA-GT-2018 Left-Center-Right,0.02030328538184256,0.016747898313056352,0.1134877466975818,0.06482438847572751,0.006490480621814964,0.007075753609058193,0.012574399361562356,0.006925087074961169,0.006090090970270686,0.016747898313056352,0.02705782526247218,0.02362880356152893,0.013252811541383368,0.020333984840979608
Pearson Corr. (Avg) NELA-GT-2018 Left-Center-Right,0.10310409288913623,0.10310409253047284,0.1530032416989277,0.15300324459097386,0.3508741298250187,0.35087412996004874,0.1185874498665306,0.11858744782554945,0.3028466685385061,0.3028466685385061,0.0418016560985211,0.09459356573262948,0.612616035856244,0.612616035856244
Pearson Corr. (Std) NELA-GT-2018 Left-Center-Right,0.06387273486998564,0.06387273665484051,0.17445778578349946,0.1744577946545435,0.3515529496333165,0.3515529497571345,0.11615573531613572,0.11615573731593967,0.3032990902728173,0.3032990902728173,0.08309452525035321,0.10377373986179296,0.02567366598095846,0.025673665980958462
Spearman Corr. (Avg) NELA-GT-2018 Left-Center-Right,0.09665076973249166,0.09665076973249166,0.11050940307235416,0.11050940307235416,0.3506661088447945,0.3506661088447945,0.11372557789044994,0.11372557789044994,0.3063674547551876,0.3063674547551876,0.04386117208382757,0.09084309895136558,0.6561430696426089,0.6561430696426089
Spearman Corr. (Std) NELA-GT-2018 Left-Center-Right,0.05299800832037845,0.05299800832037845,0.094871532941502,0.094871532941502,0.3514271482320453,0.3514271482320453,0.1120862889725789,0.1120862889725789,0.30683633384538955,0.30683633384538955,0.08081918489145244,0.09200961898183514,0.031580359037972495,0.031580359037972495
MSE (Avg) NELA-GT-2018 Random,0.2528016308408431,0.28903660799618464,0.4229876436261213,0.36932067917185823,0.3175242889657733,0.3287314744751493,0.2535533705624325,0.2894040669727056,0.35004980265832325,0.28903660799618464,0.2814058146937785,0.3557516794701444,0.2502569703803725,0.29481411349616976
MSE (Std) NELA-GT-2018 Random,0.0038101991621335147,0.006571285073815475,0.08598252320971322,0.08708526340881735,0.01121122854912683,0.013157980821119368,0.002307949183200863,0.006967795649845488,0.015798464215270012,0.006571285073815475,0.0049935813170334156,0.025971510587373917,0.00019501623704792275,0.008708299099293416
Pearson Corr. (Avg) NELA-GT-2018 Random,0.2742319884208019,0.2742320184194115,,,0.19292811381579306,0.19292810187142054,0.29350827056237216,0.29350824976879963,0.2523175421966991,0.252317542196699,-0.031709114490726456,-0.03633075815621069,-0.02345159748123654,-0.02345159748123653
Pearson Corr. (Std) NELA-GT-2018 Random,0.3770584616125448,0.3770583133157742,,,0.32572675552314123,0.3257267498546349,0.38503959230899343,0.385039551742816,0.3599899257044455,0.3599899257044453,0.04582038982962285,0.07863008515643932,0.02688130009771261,0.0268813000977126
Spearman Corr. (Avg) NELA-GT-2018 Random,0.2371553234791143,0.2371553234791143,,,0.18333468460219007,0.18333468460219007,0.2748471067723216,0.2748471067723216,0.2100871357643697,0.2100871357643697,-0.03081702874483814,-0.034224340036640856,-0.026237501792009482,-0.026237501792009482
Spearman Corr. (Std) NELA-GT-2018 Random,0.3191672867698224,0.3191672867698224,,,0.31567847432444895,0.31567847432444895,0.3869235634364126,0.3869235634364126,0.3228543781788037,0.3228543781788037,0.039533075583604665,0.08315809791542209,0.02995680485000415,0.02995680485000415
MSE (Avg) NELA-GT-2018 Continuous,0.12355272250126152,0.14345001223340564,0.19816938959881453,0.17689366609058552,0.07728664956753357,0.07857874973387144,0.12397906353428842,0.14633715884580673,0.08968131283054236,0.14345001223340564,0.17769286320162947,0.21259476582766648,0.11850056797330177,0.11456664520130724
MSE (Std) NELA-GT-2018 Continuous,0.005227169567128058,0.008975692582867055,0.09654971793502848,0.03498208566601187,0.006841417708105399,0.0073564175850066695,0.008586151098133753,0.018834427776625924,0.005741815196322588,0.008975692582867055,0.03399914189641195,0.023973092963209347,0.007508042427041787,0.01106679489412158
Pearson Corr. (Avg) NELA-GT-2018 Continuous,0.11858822694823343,0.1185882265684024,0.20378980507246497,0.20379029842715587,0.3111705228024825,0.31117052220662106,0.17597692956738556,0.17597693343397838,0.2805927612333038,0.28059276123330384,-0.02110585762240036,-0.07867791300978746,0.5845021660945936,0.5845021660945936
Pearson Corr. (Std) NELA-GT-2018 Continuous,0.09674401132374028,0.09674400057086976,0.2588808969107707,0.25887667739524545,0.3141202845249674,0.31412028396335107,0.22371973301903633,0.2237197314631315,0.2822582769513868,0.2822582769513868,0.07232376536932021,0.1123331872769499,0.009125456630778682,0.009125456630778713
Spearman Corr. (Avg) NELA-GT-2018 Continuous,0.11508568632271347,0.11508568632271347,0.20278361312109502,0.20278361312109502,0.3085389659995661,0.3085389659995661,0.20305649449824975,0.20305649449824975,0.28488266282925306,0.28488266282925306,-0.02366993555191659,-0.08104262787143393,0.6189510894018574,0.6189510894018574
Spearman Corr. (Std) NELA-GT-2018 Continuous,0.09669473457301211,0.09669473457301211,0.2577406059524199,0.2577406059524199,0.3117392581091901,0.3117392581091901,0.2731829336059586,0.2731829336059586,0.28646710781033774,0.28646710781033774,0.08077544890820348,0.11200858928425568,0.02178919581084821,0.02178919581084821
