Method,MSE,MSE Processed,Pearson,Pearson Processed,Spearman,Spearman Processed
Wordfish,0.21861410017798183,0.16329763728407856,-0.07363238838391895,0.12685981658413872,-0.11659991387913736,0.1889185627545565
SemScale,0.1260908880092845,0.2163852501518741,0.167037305039788,-0.08725496689038133,0.3262178434592227,-0.15654077723043242
